Board,Matrix Dimension,Test Iterations,FPGA compute time (cycle count) (탎),FPGA end-to-end (with UART) (탎),CPU naive triple-loop (탎),CPU NumPy int32 (탎),Speedup vs naive (compute only),UART Overhead (탎),Observation
GOWIN GW2A,4,100,2.370,12672.528,6.760,0.769,2.85,12670.158,"Compute is fast, but UART dominates total time"
GOWIN GW2A,4,100,2.370,12674.661,6.435,0.801,2.71,12672.291,
GOWIN GW2A,4,100,2.370,12678.351,6.920,0.801,2.92,12675.981,
GOWIN GW2A,4,100,2.370,12675.411,6.809,0.808,2.87,12673.041,
GOWIN GW2A,4,100,2.370,12676.094,6.876,0.805,2.90,12673.724,
GOWIN GW2A,4,100,2.370,12675.341,6.664,0.816,2.81,12672.971,
GOWIN GW2A,4,100,2.370,12676.374,6.400,0.805,2.70,12674.004,
GOWIN GW2A,4,100,2.370,12675.846,7.065,0.807,2.98,12673.476,
GOWIN GW2A,4,100,2.370,12678.086,6.457,0.800,2.72,12675.716,
GOWIN GW2A,4,100,2.370,12677.138,6.940,0.811,2.93,12674.768,
GOWIN GW2A,4,100,2.370,12673.965,6.642,0.807,2.80,12671.595,
GOWIN GW2A,4,100,2.370,12678.013,6.469,0.802,2.73,12675.643,
GOWIN GW2A,4,100,2.370,12685.900,6.394,0.803,2.70,12683.530,
GOWIN GW2A,4,100,2.370,12670.718,6.895,0.809,2.91,12668.348,
GOWIN GW2A,4,100,2.370,12678.705,7.024,0.805,2.96,12676.335,
GOWIN GW2A,4,100,2.370,12675.013,6.911,0.802,2.92,12672.643,
GOWIN GW2A,4,100,2.370,12679.429,6.635,0.810,2.80,12677.059,
GOWIN GW2A,4,100,2.370,12680.345,6.534,0.803,2.76,12677.975,
GOWIN GW2A,4,100,2.370,12680.025,6.558,0.805,2.77,12677.655,
GOWIN GW2A,4,100,2.370,12674.229,7.076,0.812,2.99,12671.859,
GOWIN GW2A,4,100,2.370,12682.019,6.718,0.813,2.83,12679.649,
GOWIN GW2A,4,100,2.370,12673.725,6.452,0.808,2.72,12671.355,
GOWIN GW2A,4,100,2.370,12679.232,6.908,0.806,2.91,12676.862,
GOWIN GW2A,4,100,2.370,12676.998,6.950,0.804,2.93,12674.628,
GOWIN GW2A,4,100,2.370,12678.556,6.981,0.809,2.95,12676.186,
GOWIN GW2A,4,100,2.370,12679.065,6.482,0.808,2.73,12676.695,
GOWIN GW2A,4,100,2.370,12681.797,6.315,0.802,2.66,12679.427,
GOWIN GW2A,4,100,2.370,12672.721,6.461,0.805,2.73,12670.351,
GOWIN GW2A,4,100,2.370,12677.283,6.635,0.766,2.80,12674.913,
GOWIN GW2A,4,100,2.370,12676.816,6.674,0.775,2.82,12674.446,
GOWIN GW2A,8,100,18.963,45998.097,43.124,0.962,2.27,45979.134,
GOWIN GW2A,8,100,18.963,45999.784,43.895,0.965,2.31,45980.821,
GOWIN GW2A,8,100,18.963,46000.038,44.225,0.959,2.33,45981.075,
GOWIN GW2A,8,100,18.963,45994.807,43.220,0.971,2.28,45975.844,
GOWIN GW2A,8,100,18.963,46002.707,43.369,0.975,2.29,45983.744,
GOWIN GW2A,8,100,18.963,45999.233,43.249,0.993,2.28,45980.270,
GOWIN GW2A,8,100,18.963,45996.256,43.590,1.012,2.30,45977.293,
GOWIN GW2A,8,100,18.963,45994.957,43.570,1.080,2.30,45975.994,
GOWIN GW2A,8,100,18.963,46000.568,43.255,0.975,2.28,45981.605,
GOWIN GW2A,8,100,18.963,46002.588,43.669,0.967,2.30,45983.625,
GOWIN GW2A,8,100,18.963,45997.708,43.381,0.969,2.29,45978.745,
GOWIN GW2A,8,100,18.963,45997.649,42.979,0.966,2.27,45978.686,
GOWIN GW2A,8,100,18.963,46000.088,43.256,0.966,2.28,45981.125,
GOWIN GW2A,8,100,18.963,45996.608,43.391,0.987,2.29,45977.645,
GOWIN GW2A,8,100,18.963,45994.495,47.663,0.969,2.51,45975.532,
GOWIN GW2A,8,100,18.963,45994.911,43.434,0.968,2.29,45975.948,
GOWIN GW2A,8,100,18.963,46001.172,42.826,0.958,2.26,45982.209,
GOWIN GW2A,8,100,18.963,45995.645,44.143,0.965,2.33,45976.682,
GOWIN GW2A,8,100,18.963,45996.415,44.517,0.962,2.35,45977.452,
GOWIN GW2A,8,100,18.963,46000.385,43.216,0.981,2.28,45981.422,
GOWIN GW2A,8,100,18.963,45999.496,43.058,0.955,2.27,45980.533,
GOWIN GW2A,8,100,18.963,46003.837,43.613,0.974,2.30,45984.874,
GOWIN GW2A,8,100,18.963,45996.357,43.305,0.963,2.28,45977.394,
GOWIN GW2A,8,100,18.963,45997.707,43.884,0.965,2.31,45978.744,
GOWIN GW2A,8,100,18.963,45995.355,44.237,0.965,2.33,45976.392,
GOWIN GW2A,8,100,18.963,45999.359,43.106,0.962,2.27,45980.396,
GOWIN GW2A,8,100,18.963,45995.403,43.624,1.025,2.30,45976.440,
GOWIN GW2A,8,100,18.963,45994.705,43.945,0.974,2.32,45975.742,
GOWIN GW2A,8,100,18.963,46003.351,43.485,0.970,2.29,45984.388,
GOWIN GW2A,8,100,18.963,45999.095,43.504,0.972,2.29,45980.132,
BASYS 3 Artix-7,4,100,0.640,16093.389,6.940,0.815,10.84,16092.749,
BASYS 3 Artix-7,4,100,0.640,16091.291,6.543,0.816,10.22,16090.651,
BASYS 3 Artix-7,4,100,0.640,16098.252,6.587,0.773,10.29,16097.612,
BASYS 3 Artix-7,4,100,0.640,16092.262,6.428,0.817,10.04,16091.622,
BASYS 3 Artix-7,4,100,0.640,16090.589,7.052,0.813,11.02,16089.949,
BASYS 3 Artix-7,4,100,0.640,16088.519,6.566,0.818,10.26,16087.879,
BASYS 3 Artix-7,4,100,0.640,16088.804,7.016,0.824,10.96,16088.164,
BASYS 3 Artix-7,4,100,0.640,16100.110,6.486,0.814,10.13,16099.470,
BASYS 3 Artix-7,4,100,0.640,16094.492,6.509,0.817,10.17,16093.852,
BASYS 3 Artix-7,4,100,0.640,16095.173,6.602,0.815,10.32,16094.533,
BASYS 3 Artix-7,4,100,0.640,16096.728,6.863,0.816,10.72,16096.088,
BASYS 3 Artix-7,4,100,0.640,16102.678,6.577,0.815,10.28,16102.038,
BASYS 3 Artix-7,4,100,0.640,16100.642,6.915,0.826,10.80,16100.002,
BASYS 3 Artix-7,4,100,0.640,16097.303,6.496,0.814,10.15,16096.663,
BASYS 3 Artix-7,4,100,0.640,16101.319,6.494,0.821,10.15,16100.679,
BASYS 3 Artix-7,4,100,0.640,16096.688,6.920,0.814,10.81,16096.048,
BASYS 3 Artix-7,4,100,0.640,16100.447,6.934,0.812,10.83,16099.807,
BASYS 3 Artix-7,4,100,0.640,16098.395,6.540,0.819,10.22,16097.755,
BASYS 3 Artix-7,4,100,0.640,16099.708,6.530,0.812,10.20,16099.068,
BASYS 3 Artix-7,4,100,0.640,16098.968,6.883,0.819,10.75,16098.328,
BASYS 3 Artix-7,4,100,0.640,16098.938,7.008,0.823,10.95,16098.298,
BASYS 3 Artix-7,4,100,0.640,16094.112,6.614,0.813,10.33,16093.472,
BASYS 3 Artix-7,4,100,0.640,16100.410,6.689,0.820,10.45,16099.770,
BASYS 3 Artix-7,4,100,0.640,16093.309,6.917,0.819,10.81,16092.669,
BASYS 3 Artix-7,4,100,0.640,16095.033,6.732,0.817,10.52,16094.393,
BASYS 3 Artix-7,4,100,0.640,16093.362,6.639,0.814,10.37,16092.722,
